EM0001, SARAH, 4523452456, 31-01-1987, Nurse, 12-04-2023, 2140, 2, null
EM0002, HANA, 1342345452, 28-02-1990, Doctor, 03-04-2018, 3000, 4, null
EM0003, NICK, 3425435245, 03-05-1999, Technician, 03-04-2017, 3500, 3, null
EM0004, LILI, 5234509435, 12-04-1999, Nurse, 01-06-2020, 1400, 2, null
EM0005, JACK, 523452456, 31-03-1999, Doctor, 12-02-2022, 2100, 2, null
EM0006, HOANG, 3216549875, 13-03-2003, Doctor, 13-06-2020, 3500, 3, null
EM0008, TAN, 5469832155, 29-02-1996, Technician, 12-05-2020, 4000, 2, null
EM0007, DANIEL, 9879464512, 15-06-2003, Technician, 29-02-2020, 3000, 3, 01-03-2023
EM0009, ANDREA, 8475720400, 29-02-1988, Nurse, 29-02-2020, 2200, 1, 01-03-2021
EM0010, JOSEPH, 3852847600, 28-02-1977, Doctor, 31-12-2017, 3000, 4, 01-01-2019
