EM0001, JOHN, 0123456782, 12-05-1980, Doctor, 01-05-2010, 2500, 3, null
EM0002, ROSE, 0907100201, 15-07-1981, Nurse, 01-04-2012, 2200, 3, null
EM0003, MINH, 0903123124, 21-08-1970, Nurse, 01-04-2012, 2100, 3, 22-08-2023
EM0004, THU, 0909900911, 23-12-1980, Technician, 01-04-2021, 1800, 3, null
EM0005, TUYET, 0162116118, 29-06-1982, Doctor, 01-05-2021, 2700, 3, null
EM0006, LOAN, 0163234567, 03-02-1985, Nurse, 01-06-2021, 2000, 3, null
EM0007, ROSELINE, 0166345678, 06-01-1987, Doctor, 01-06-2021, 2250, 3, null
EM0008, BILL, 0165800900, 23-10-1979, Doctor, 01-07-2021, 2500, 3, null
EM0009, OBAMA, 0905556777, 18-03-1982, Nurse, 01-08-2021, 2100, 3, null
EM0010, BIDEN, 0903878989, 21-05-1983, Technician, 01-10-2021, 1700, 3, null
EM0011, OESTEL, 0907883116, 22-07-1960, Doctor, 22-08-2023, 2950, 4, null
EM0012, ALBERT, 0909555444, 22-12-1950, Doctor, 22-08-2023, 4000, 3, null
